date,MVRV,txs_count,daily_active_adds,mean_hash_rate,gwei,30_volat,google_trends,net_outflow,closing_price
2019-12-23,-0.0299,0.1919,-0.0083,0.0054,0.1526,0.0041,0.0000,-1.4220,-0.0322
2019-12-24,0.0017,-0.0456,0.0408,0.0030,-0.0769,-0.0688,0.0000,-1.8332,-0.0012
2019-12-25,-0.0188,-0.0626,0.0222,-0.0280,0.0154,-0.0200,0.0000,7.4182,-0.0217
2019-12-26,0.0056,0.0381,-0.0510,-0.0056,0.0006,-0.0024,0.0000,-0.9611,0.0034
2019-12-27,0.0071,-0.0113,-0.1316,0.0072,0.0143,-0.0266,0.0000,3.2612,0.0070
2019-12-28,0.0148,-0.1096,-0.0612,0.0243,-0.0228,0.0063,0.0000,-0.7663,0.0147
2019-12-29,0.0489,-0.0703,0.1094,0.0056,-0.0487,0.0413,0.0000,-3.7262,0.0516
2019-12-30,-0.0233,0.2172,-0.0334,-0.0085,0.0656,0.0053,0.0000,-0.8965,-0.0249
2019-12-31,-0.0186,-0.0517,-0.1111,-0.0149,0.1704,0.0042,0.0000,-11.5752,-0.0211
2020-01-01,0.0111,-0.1582,-0.0017,-0.0291,-0.1688,0.0025,0.0000,-0.4853,0.0113
2020-01-02,-0.0231,0.0838,-0.0482,0.0319,-0.0941,0.0061,0.0000,3.8575,-0.0249
2020-01-03,0.0537,0.1503,0.1600,0.0249,0.0879,0.0514,0.0000,-0.6074,0.0558
2020-01-04,0.0019,-0.0388,-0.0601,0.0552,-0.1592,-0.0048,0.0000,2.2788,0.0019
2020-01-05,0.0069,-0.0615,-0.0473,-0.0295,0.0102,0.0006,0.0000,-1.5158,0.0070
2020-01-06,0.0637,0.1941,0.1990,0.0102,0.1263,0.0617,0.0000,-6.4714,0.0667
2020-01-07,-0.0069,0.0318,0.0054,0.0286,-0.0474,-0.0069,0.0000,-0.8905,-0.0051
2020-01-08,-0.0138,0.0114,0.0252,-0.0256,0.0883,-0.0031,0.0000,6.1736,-0.0166
2020-01-09,-0.0226,-0.0496,-0.0015,-0.0189,-0.0457,0.0055,0.0000,-1.1583,-0.0241
2020-01-10,0.0442,-0.0262,0.1652,0.0343,0.1321,0.0232,0.0000,-1.5620,0.0459
2020-01-11,-0.0061,-0.0917,-0.1462,0.0055,-0.0931,-0.0011,0.0000,2.2667,-0.0066
2020-01-12,0.0181,-0.0467,-0.1782,-0.0125,-0.0218,0.0041,0.3333,0.4664,0.0182
2020-01-13,-0.0092,0.0791,0.1278,0.0065,0.0129,-0.0032,0.3333,-1.6779,-0.0106
2020-01-14,0.1421,0.1881,0.1949,-0.0055,0.4234,0.2194,0.3333,-5.8528,0.1538
2020-01-15,-0.0015,0.0397,0.0321,0.0162,-0.2907,-0.0523,0.3333,-0.9870,-0.0012
2020-01-16,-0.0100,-0.0068,-0.0485,-0.0095,-0.1144,-0.0825,0.3333,9.2517,-0.0109
2020-01-17,0.0387,-0.0246,-0.0352,0.0009,0.0777,-0.0612,0.3333,-3.8213,0.0426
2020-01-18,0.0218,-0.0715,-0.0152,-0.0083,0.0146,-0.0268,0.3333,5.7683,0.0236
2020-01-19,-0.0449,-0.0204,-0.0739,0.0054,-0.0417,0.0430,-0.2500,-1.0302,-0.0473
2020-01-20,-0.0020,-0.0262,-0.0408,0.0059,-0.0716,-0.0030,-0.2500,-1.8281,0.0008
2020-01-21,0.0128,-0.0673,0.1141,0.0080,-0.0106,-0.0105,-0.2500,-5.5113,0.0134
2020-01-22,-0.0092,-0.0809,-0.0540,-0.0172,0.0435,-0.0172,-0.2500,-2.5888,-0.0096
2020-01-23,-0.0296,0.0755,-0.0536,0.0079,-0.0987,0.0205,-0.2500,-0.4519,-0.0322
2020-01-24,0.0000,-0.1003,-0.1859,0.0152,-0.0735,-0.0107,-0.2500,-1.7714,0.0006
2020-01-25,-0.0097,-0.1240,-0.0053,-0.0192,-0.0948,0.0043,-0.2500,-0.8697,-0.0106
2020-01-26,0.0395,-0.0153,-0.0652,-0.0096,-0.0258,0.0125,0.0000,0.5910,0.0414
2020-01-27,0.0146,0.1112,0.2244,0.0108,0.1757,0.0003,0.0000,-6.1314,0.0166
2020-01-28,0.0293,0.1044,-0.0305,-0.0171,-0.0182,-0.0150,0.0000,-0.3316,0.0314
2020-01-29,-0.0040,0.0480,0.0004,0.0205,0.0127,-0.0130,0.0000,0.5507,-0.0034
2020-01-30,0.0518,0.0263,0.0546,-0.0272,0.0600,0.0101,0.0000,-2.2692,0.0548
2020-01-31,-0.0222,0.0306,-0.0197,0.0061,-0.0115,0.0145,0.0000,-2.1223,-0.0222
2020-02-01,0.0160,-0.0644,-0.0138,-0.0060,0.0277,-0.0162,0.0000,-4.1223,0.0189
2020-02-02,0.0240,-0.0287,-0.0031,0.0301,-0.0174,-0.0206,0.3333,-0.4592,0.0263
2020-02-03,0.0029,0.1719,0.1792,-0.0064,0.0864,-0.0007,0.3333,-1.6452,0.0050
2020-02-04,-0.0056,-0.1557,-0.1558,0.0162,0.1897,0.0036,0.3333,-1.2754,-0.0056
2020-02-05,0.0832,0.1646,0.1717,-0.0184,0.0603,0.0349,0.3333,-0.5456,0.0895
2020-02-06,0.0263,-0.0070,0.0457,0.0069,0.0460,0.0035,0.3333,-9.9193,0.0377
2020-02-07,0.0395,0.0326,-0.0038,-0.0033,0.0087,0.0006,0.3333,-0.6604,0.0470
2020-02-08,0.0045,0.0565,0.2182,0.0184,-0.1078,-0.0185,0.3333,-3.0066,0.0050
2020-02-09,0.0164,-0.0499,-0.1221,-0.0094,-0.0386,-0.0106,0.7500,-1.6105,0.0201
2020-02-10,-0.0180,0.0638,0.0418,0.0163,0.0111,0.0091,0.7500,-4.3837,-0.0189
2020-02-11,0.0571,0.0606,0.0036,0.0048,-0.0141,0.0230,0.7500,0.1756,0.0603
2020-02-12,0.1040,0.1253,0.2338,-0.0016,0.1355,0.0985,0.7500,-1.0854,0.1220
2020-02-13,-0.0032,-0.0418,-0.0504,0.0174,0.0448,-0.1696,0.7500,-11.4048,0.0048
2020-02-14,0.0514,0.0092,-0.1353,0.0040,-0.0498,0.0234,0.7500,-1.3127,0.0630
2020-02-15,-0.0625,-0.0942,0.0619,0.0035,0.0395,0.0952,0.7500,-2.1293,-0.0695
2020-02-16,-0.0131,-0.0539,-0.0180,0.0129,-0.0428,0.0021,-0.2857,0.7800,-0.0147
2020-02-17,0.0177,0.0512,-0.0138,-0.0087,-0.0464,-0.0005,-0.2857,0.5241,0.0210
2020-02-18,0.0563,0.0555,0.0344,0.0090,-0.0654,-0.0239,-0.2857,0.0393,0.0636
2020-02-19,-0.0726,-0.0520,-0.0332,0.0443,0.0800,0.1101,-0.2857,-1.3678,-0.0793
2020-02-20,-0.0107,-0.0090,-0.0469,-0.0307,-0.0062,0.0056,-0.2857,-3.4482,-0.0094
2020-02-21,0.0242,-0.0276,0.0192,-0.0150,-0.2093,-0.0042,-0.2857,-2.6824,0.0281
2020-02-22,-0.0147,-0.0965,-0.0268,0.0267,0.0913,-0.0134,-0.2857,-1.0582,-0.0156
2020-02-23,0.0448,0.0007,-0.0105,-0.0049,0.2506,0.0080,-0.2000,-8.3192,0.0505
2020-02-24,-0.0360,0.1343,0.0278,0.0131,-0.0657,0.0238,-0.2000,0.2741,-0.0386
2020-02-25,-0.0597,-0.0254,-0.0366,-0.0305,-0.0343,0.0485,-0.2000,-1.8445,-0.0599
2020-02-26,-0.0799,0.0517,0.1959,0.0120,0.2223,0.0955,-0.2000,0.6559,-0.0919
2020-02-27,0.0078,0.0136,-0.0043,0.0366,-0.1697,-0.0032,-0.2000,0.3155,0.0031
2020-02-28,0.0093,-0.0361,0.0548,-0.0250,-0.0061,-0.0011,-0.2000,-0.6297,0.0100
2020-02-29,-0.0350,-0.0991,-0.2404,0.0072,-0.1520,-0.0002,-0.2000,-0.6174,-0.0375
2020-03-01,-0.0053,0.0129,0.0928,-0.0126,0.0367,-0.0048,0.0000,-3.8034,-0.0067
2020-03-02,0.0527,0.0843,0.0333,-0.0090,-0.0295,0.0164,0.0000,-1.8207,0.0575
2020-03-03,-0.0285,-0.0294,0.0092,0.0027,0.0646,0.0071,0.0000,-0.9411,-0.0299
2020-03-04,0.0003,0.0039,-0.0649,0.0156,0.0190,0.0003,0.0000,-45.7366,-0.0006
2020-03-05,0.0149,0.0846,0.0239,-0.0062,0.0554,-0.0002,0.0000,-0.9124,0.0163
2020-03-06,0.0675,-0.0602,0.0344,-0.0146,-0.0276,-0.0159,0.0000,7.2312,0.0725
2020-03-07,-0.0245,-0.0677,-0.1257,0.0174,-0.0190,-0.0006,0.0000,-0.9715,-0.0257
2020-03-08,-0.1377,0.0500,0.1267,0.0235,0.1857,0.1593,0.2500,32.6477,-0.1483
2020-03-09,-0.0046,0.1834,0.1719,-0.0263,0.0899,0.0001,0.2500,-2.9211,-0.0129
2020-03-10,0.0039,-0.0300,-0.1481,0.0033,-0.1882,-0.0028,0.2500,-0.7298,0.0035
2020-03-11,-0.0285,-0.0625,0.0670,-0.0125,0.1176,0.0034,0.2500,2.8495,-0.0329
2020-03-12,-0.3979,0.0669,0.1729,0.0034,5.0464,1.0496,0.2500,1.8120,-0.4320
2020-03-13,0.2134,0.1146,-0.0211,-0.0290,0.0880,0.0388,0.2500,-0.9860,0.2214
2020-03-14,-0.0890,-0.1959,0.1510,-0.0124,-0.8034,0.0055,0.2500,30.4214,-0.0941
2020-03-15,0.0150,-0.0355,-0.0489,0.0067,-0.1379,-0.0072,0.0000,-0.9725,0.0137
2020-03-16,-0.0992,0.1923,0.0810,0.0055,1.0685,0.0066,0.0000,3.4966,-0.1083
2020-03-17,0.0732,-0.0268,-0.0597,-0.0285,-0.3696,0.0099,0.0000,18.0916,0.0674
2020-03-18,0.0016,0.0070,-0.0241,0.0257,-0.1614,-0.0018,0.0000,-1.1614,-0.0009
2020-03-19,0.1641,0.1244,0.0711,-0.0030,0.1664,0.0284,0.0000,-1.5607,0.1672
